#a,#b,#Lens diameter,#Lens thickness,#Height va int,#Diffusion coef,#Perm va,#Perm vr,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
0.910036790492211,0.5997913893037373,1.0070441485906532,0.67433369836978,0.2499437806857311,1.100110371476633e-10,3.252464962978137e-07,2.143594517143277e-09,3.987791412502336,4.056142498700951,3.8365646750126134,3.3517024978279935,3.683107840372199,2.7040294644827916,2.580688071760757
0.9097255064455184,0.599091000198679,1.0059235260225596,0.6715010135448772,0.24957335267016686,1.0982426671964774e-10,3.1898968695929234e-07,2.106551715586857e-09,4.00395038728628,4.07441108467123,3.8504359434960587,3.3668392670403646,3.700634301260817,2.7160575605597015,2.596049278309014
0.9094142223988259,0.5983906110936206,1.0048029034544663,0.6686683287199745,0.24920292465460267,1.0963749629163216e-10,3.127328776207709e-07,2.069508914030437e-09,4.020531230444558,4.093116250631767,3.8647281682957098,3.3822670324331154,3.7185861708594103,2.7283498342904156,2.6118016724217865
0.9091029383521332,0.5976902219885623,1.003682280886373,0.6658356438950718,0.24883249663903848,1.094507258636166e-10,3.0647606828224954e-07,2.0324661124740165e-09,4.0374533850686145,4.112201571669863,3.8793427849062456,3.398072832006987,3.736880332639674,2.7410218034534974,2.6278307851361795
0.9087916543054406,0.5969898328835039,1.0025616583182795,0.6630029590701692,0.24846206862347428,1.0926395543560105e-10,3.002192589437281e-07,1.995423310917596e-09,4.054705022055954,4.131639927683254,3.8942379952806685,3.414260731332191,3.7555835025789244,2.754009066982594,2.6444051524450574
0.908480370258748,0.5962894437784455,1.0014410357501862,0.6601702742452664,0.24809164060791006,1.0907718500758548e-10,2.939624496052067e-07,1.958380509361176e-09,4.07240483832907,4.151538605773872,3.909606703849441,3.430873996681141,3.7747052021950616,2.767324059595409,2.6613872013574875
0.9081690862120554,0.5955890546733872,1.0003204131820929,0.6573375894203637,0.24772121259234586,1.0889041457956992e-10,2.877056402666853e-07,1.9213377078047555e-09,4.090418581072775,4.171762589729621,3.9251788519446085,3.4478097510615684,3.7942035022672025,2.7811428564754754,2.678669637831465
0.9078578021653628,0.5948886655683288,0.9991997906139994,0.654504904595461,0.24735078457678167,1.0870364415155435e-10,2.8144883092816395e-07,1.8842949062483356e-09,4.109093644894296,4.192683771599051,3.9414299592958257,3.4654021359596574,3.8143958514491736,2.795352024035431,2.696671738407037
0.9075465181186702,0.5941882764632704,0.998079168045906,0.6516722197705582,0.24698035656121747,1.0851687372353879e-10,2.751920215896425e-07,1.8472521046919153e-09,4.128086421682372,4.213957685793674,3.957975483640522,3.4833234985171213,3.834901301680076,2.809922600313184,2.714958399827688
0.9072352340719776,0.593487887358212,0.9969585454778127,0.6488395349456555,0.24660992854565325,1.0833010329552322e-10,2.6893521225112115e-07,1.810209303135495e-09,4.1475118614058974,4.235698019166973,3.974919205334378,3.5016300813865064,3.855884476403492,2.8249270607431143,2.7336620553891766
0.9069239500252849,0.5927874982531537,0.9958379229097193,0.6460068501207528,0.24623950053008906,1.0814333286750766e-10,2.626784029125997e-07,1.7731665015790749e-09,4.1675481152681835,4.258047188467916,3.992470752875993,3.5205716016169997,3.8774675382418375,2.840411148076431,2.752979038580217
0.9066126659785924,0.5920871091480954,0.9947173003416259,0.64317416529585,0.24586907251452483,1.079565624394921e-10,2.564215935740783e-07,1.7361237000226546e-09,4.188135586809679,4.281006479725391,4.010520160697324,3.540111171024382,3.899704667156868,2.856542930832343,2.773104879131385
0.9063013819318998,0.5913867200430369,0.9935966777735326,0.6403414804709473,0.24549864449896064,1.0776979201147653e-10,2.501647842355569e-07,1.6990808984662344e-09,4.20928326830321,4.304544265569715,4.02912608959655,3.5601977711802006,3.922487512322827,2.873058128517284,2.7937026662942896
0.9059900978852071,0.5906863309379786,0.9924760552054391,0.6375087956460446,0.24512821648339644,1.0758302158346097e-10,2.4390797489703545e-07,1.6620380969098143e-09,4.231194357688624,4.328843824383762,4.048423372437038,3.580960604090077,3.9460122864641374,2.89038123221353,2.8149447617045844
0.9056788138385146,0.5899859418329202,0.9913554326373457,0.6346761108211418,0.24475778846783225,1.073962511554454e-10,2.376511655585141e-07,1.6249952953533942e-09,4.253763007401035,4.353857740736782,4.068426523390164,3.6024736481121558,3.9703083966275936,2.9083471370969725,2.837183770330833
0.9053675297918219,0.5892855527278619,0.9902348100692524,0.6318434259962391,0.24438736045226805,1.0720948072742984e-10,2.313943562199927e-07,1.5879524937969737e-09,4.277001047894497,4.379540251119516,4.089010716177527,3.624615979913658,3.9952507265250405,2.9268590172765245,2.859858125526467
0.9050562457451293,0.5885851636228034,0.989114187501159,0.6290107411713364,0.24401693243670383,1.0702271029941427e-10,2.251375468814713e-07,1.5509096922405536e-09,4.3010544637438946,4.406106672208932,4.110390262664597,3.647605708650476,4.021051978249446,2.9461991016960223,2.883349372572197
0.9047449616984367,0.5878847745177451,0.9879935649330656,0.6261780563464336,0.24364650442113964,1.0683593987139871e-10,2.188807375429499e-07,1.5138668906841332e-09,4.326014318426544,4.433575560738291,4.132601851603559,3.6715146141372847,4.047820834214024,2.9663940802682847,2.9082141334112164
0.9044336776517441,0.5871843854126868,0.9868729423649722,0.623345371521531,0.24327607640557544,1.0664916944338315e-10,2.1262392820442848e-07,1.4768240891277131e-09,4.351860018884095,4.4619682819559605,4.1557534641390275,3.696274118474111,4.075441101294624,2.9874082040602734,2.9335607449556877
