#b,#Height va int,#Diffusion coef,#Perm va,#Perm vr,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
0.7056011738535802,0.17117998425115197,1.100110371476633e-10,3.252464962978137e-07,2.143594517143277e-09,5.542801129344489,6.016596443064045,4.511086321318938,5.054671847067117,3.359429140972828,5.802292902323392,4.9209582044252995
0.7049483548624823,0.17079304063097395,1.0979738729603125e-10,3.1888447849365943e-07,2.1082829444429806e-09,5.57932109742003,6.057241033075863,4.5425983974217266,5.089068415863218,3.385430044415558,5.841893279514515,4.956930832699534
0.7042955358713844,0.1704060970107959,1.0958373744439921e-10,3.125224606895051e-07,2.0729713717426837e-09,5.616830622824749,6.098922459697503,4.575035321948956,5.124556106005999,3.412694525428591,5.882576193433746,4.994144431196599
0.7036427168802865,0.17001915339061785,1.0937008759276715e-10,3.061604428853508e-07,2.0376597990423868e-09,5.655053741773301,6.141377745856558,4.608128041781169,5.160616686630509,3.440301794659011,5.923956925617296,5.03190852065879
0.7029898978891885,0.1696322097704398,1.0915643774113511e-10,2.997984250811965e-07,2.00234822634209e-09,5.694310542864088,6.184917540483551,4.642164069720809,5.197745267121154,3.468724560963886,5.966452659382394,5.070693183626987
0.7023370788980906,0.16924526615026178,1.0894278788950306e-10,2.934364072770422e-07,1.9670366536417934e-09,5.734587785664245,6.229522881578282,4.677167287329491,5.235917483527791,3.4983242471504172,6.010025265061371,5.110697183444912
0.7016842599069927,0.16885832253008373,1.0872913803787102e-10,2.870743894728879e-07,1.931725080941497e-09,5.77548263739732,6.274819791854393,4.712697479742475,5.274623263809403,3.528243286774779,6.0542464716434745,5.151121285617359
0.7010314409158948,0.16847137890990568,1.0851548818623896e-10,2.8071237166873357e-07,1.8964135082412e-09,5.817848420133549,6.321629686332244,4.749647259974468,5.314769213660392,3.5595212688246023,6.099962112658406,5.1930602088279345
0.7003786219247968,0.16808443528972764,1.0830183833460692e-10,2.743503538645793e-07,1.8611019355409035e-09,5.861218514488362,6.369503537953313,4.787511707077256,5.355952999737647,3.591593898238843,6.146759057725688,5.236064071906694
0.6997258029336989,0.16769749166954961,1.0808818848297487e-10,2.67988336060425e-07,1.8257903628406066e-09,5.905701970546077,6.418546454704786,4.8264081701095485,5.39817427231872,3.624786277804868,6.194692971964165,5.280110806308502
0.699072983942601,0.16731054804937157,1.0787453863134283e-10,2.616263182562707e-07,1.7904787901403097e-09,5.951551611444405,6.469016846803558,4.866625150844849,5.441796839604136,3.659150228148922,6.2440757120782955,5.325650465531272
0.698420164951503,0.16692360442919352,1.0766088877971077e-10,2.5526430045211633e-07,1.7551672174400132e-09,5.998739203502024,6.520879511505785,4.908087274701164,5.48667652545374,3.694582943222003,6.294806488695393,5.372465087803715
0.6977673459604051,0.16653666080901547,1.0744723892807873e-10,2.489022826479621e-07,1.7198556447397163e-09,6.047224189725879,6.5740978751062356,4.950745568273628,5.532796134113207,3.731061200849793,6.3468655161257805,5.420481663547753
0.6971145269693072,0.16614971718883742,1.0723358907644669e-10,2.4254026484380777e-07,1.6845440720394196e-09,6.0971241766712385,6.628805450650486,4.994758014297007,5.580413971724166,3.7691275570070433,6.4004525377696,5.4700669138528335
0.6964617079782093,0.1657627735686594,1.0701993922481463e-10,2.3617824703965346e-07,1.6492324993391229e-09,6.148551223952254,6.685099288038717,5.0402209877666415,5.629455247590222,3.8082470578069083,6.455579423135602,5.521092854955285
0.6958088889871114,0.16537582994848135,1.0680628937318259e-10,2.2981622923549915e-07,1.6139209266388262e-09,6.201799078834809,6.743266999807668,5.087491783984803,5.680270283507845,3.8492263792591115,6.51254230176338,5.573922604602886
0.6951560699960134,0.1649888863283033,1.0659263952155054e-10,2.2345421143134484e-07,1.5786093539385295e-09,6.256962677120077,6.803415120974919,5.136443316613539,5.733163288882293,3.892085308122205,6.571570516817975,5.628933409679242
0.6945032510049155,0.16460194270812528,1.0637898966991849e-10,2.1709219362719053e-07,1.5432977812382328e-09,6.313914402867996,6.8654102447558625,5.18717440505816,5.787638864619699,3.936312110914908,6.6323654425813166,5.6854980875705206
0.6938504320138177,0.16421499908794723,1.0616533981828644e-10,2.1073017582303622e-07,1.507986208537936e-09,6.372886089725508,6.929497152338288,5.239844745558124,5.844151797366794,3.982538848272675,6.695252147775464,5.744157997589152
0.6931976130227198,0.16382805546776918,1.059516899666544e-10,2.0436815801888194e-07,1.4726746358376394e-09,6.434298547543625,6.996080827572712,5.294859863134139,5.903054958067756,4.030952804989149,6.760605953104981,5.805210943144846
0.6925447940316218,0.16344111184759114,1.0573804011502235e-10,1.9800614021472765e-07,1.4373630631373427e-09,6.498090123671869,7.065111890634377,5.352171998432324,5.964430033220368,4.081817971421374,6.828469567604761,5.868870193671859
0.6918919750405239,0.1630541682274131,1.055243902633903e-10,1.9164412241057334e-07,1.4020514904370456e-09,6.564347711225185,7.136664773902199,5.411845940161953,6.028127312487513,4.134688102898222,6.898766542095525,5.9347908419412265
0.691239156049426,0.16266722460723507,1.0531074041175825e-10,1.8528210460641904e-07,1.3667399177367493e-09,6.633638533636516,7.2113295907732,5.474551457020328,6.094860715915558,4.1905930906614275,6.972174510945481,6.003764510660614
0.6905863370583281,0.16228028098705702,1.0509709056012621e-10,1.7892008680226475e-07,1.3314283450364526e-09,6.705985055150836,7.289101429954601,5.540121855578533,6.1646649386541466,4.249409616621649,7.048687422346313,6.075907963006022
