#a,#b,#Lens diameter,#Lens thickness,#Height va int,#Diffusion coef,#Perm va,#Perm vr,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
1.1840824063998396,0.9336135337378779,0.9861227313609306,0.4105169070170264,0.26359617206772484,1.123696829133329e-10,2.005851349200615e-07,1.90083295395451e-09,8.718054371926018,9.51070255643691,6.985973158528637,7.941385122328467,5.224147118160186,9.156776027530125,7.627897629031449
1.1827441274680888,0.9315031479812015,0.9827791111828891,0.40866100197251604,0.2621065578244014,1.1224267994597385e-10,2.001317224571535e-07,1.894387850096943e-09,8.717725817607375,9.511462744626513,6.984109383655968,7.945393723088827,5.229832997389121,9.159734233942922,7.6352770611420215
1.1814058485363381,0.9293927622245248,0.9794354910048475,0.40680509692800565,0.26061694358107795,1.121156769786148e-10,1.9967830999424548e-07,1.8879427462393764e-09,8.71776600028729,9.51257687464956,6.982605536742569,7.949747899851457,5.23592909821559,9.163057324247413,7.643145116407988
1.1800675696045873,0.9272823764678484,0.9760918708268059,0.40494919188349526,0.2591273293377545,1.1198867401125575e-10,1.9922489753133748e-07,1.8814976423818095e-09,8.717899008979932,9.513782439650045,6.981096378245831,7.954454022071063,5.242441131357036,9.166581618904909,7.651398114795938
1.1787292906728366,0.9251719907111717,0.9727482506487644,0.4030932868389849,0.25763771509443106,1.118616710438967e-10,1.9877148506842948e-07,1.8750525385242426e-09,8.718137291959946,9.515090289197355,6.979662101369984,7.958933248045353,5.248522731995665,9.170059317200044,7.659330462783934
1.177391011741086,0.9230616049544952,0.9694046304707229,0.4012373817944745,0.2561481008511076,1.1173466807653764e-10,1.9831807260552145e-07,1.868607434666676e-09,8.718070951668782,9.516100634415036,6.977989372624202,7.963260825722287,5.254835112246111,9.173309136610193,7.66720262537499
1.176052732809335,0.9209512191978186,0.9660610102926813,0.3993814767499641,0.2546584866077842,1.1160766510917859e-10,1.9786466014261344e-07,1.8621623308091091e-09,8.718308526104126,9.517421107205365,6.976609854814358,7.96786350888149,5.260954900022249,9.176840024542713,7.675327749687584
1.1747144538775844,0.9188408334411421,0.9627173901146397,0.3975255717054537,0.25316887236446073,1.1148066214181954e-10,1.9741124767970542e-07,1.8557172269515424e-09,8.718352616707529,9.518537044366001,6.975038308476795,7.972370715117581,5.267280063140917,9.180246803168277,7.683374908204385
1.1733761749458336,0.9167304476844655,0.9593737699365983,0.39566966666094333,0.2516792581211373,1.1135365917446049e-10,1.9695783521679741e-07,1.8492721230939757e-09,8.718748130438213,9.520005034083347,6.973739183245402,7.976969110282647,5.2735897890512,9.183832954122817,7.691416106604001
1.172037896014083,0.914620061927789,0.9560301497585567,0.39381376161643294,0.25018964387781384,1.1122665620710145e-10,1.965044227538894e-07,1.8428270192364088e-09,8.719427728274049,9.521754932219343,6.9727809459972185,7.98208928036434,5.280436567957562,9.187863528428823,7.700193111879825
1.1706996170823323,0.9125096761711123,0.9526865295805151,0.39195785657192256,0.2487000296344904,1.110996532397424e-10,1.9605101029098138e-07,1.836381915378842e-09,8.719855016328468,9.523252431155196,6.971562420133541,7.986854243617101,5.286799459135322,9.191558373517424,7.708457750138937
1.1693613381505814,0.9103992904144358,0.9493429094024737,0.39010195152741217,0.24721041539116695,1.1097265027238335e-10,1.9559759782807338e-07,1.8299368115212754e-09,8.720304445868267,9.524779503515338,6.970265046333688,7.991607526664249,5.293176747900163,9.195277293425926,7.716723543220599
1.1680230592188308,0.9082889046577592,0.9459992892244321,0.3882460464829018,0.2457208011478435,1.108456473050243e-10,1.9514418536516535e-07,1.8234917076637086e-09,8.721055945974273,9.52659203829522,6.9693224615352785,7.996691957244877,5.300116505087273,9.199282179024557,7.725370972115908
1.16668478028708,0.9061785189010827,0.9426556690463905,0.3863901414383914,0.24423118690452006,1.1071864433766525e-10,1.9469077290225735e-07,1.8170466038061417e-09,8.721635843424393,9.528248314526039,6.968082708498029,8.001628091287307,5.306547583837245,9.203142388984965,7.73382339484897
1.1653465013553292,0.9040681331444061,0.939312048868349,0.384534236393881,0.24274157266119661,1.105916413703062e-10,1.9423736043934935e-07,1.810601499948575e-09,8.722700515157971,9.530376965844983,6.9674988200739945,8.00695507427015,5.313584611813965,9.207454686909593,7.742782838250534
1.1640082224235784,0.9019577473877296,0.9359684286903074,0.3826783313493706,0.2412519584178732,1.1046463840294714e-10,1.9378394797644132e-07,1.8041563960910083e-09,8.723726291732035,9.53246487458162,6.96676132717465,8.012346885773626,5.320612139267356,9.211743603565326,7.75170219020194
1.1626699434918277,0.899847361631053,0.9326248085122659,0.38082242630486024,0.23976234417454975,1.1033763543558809e-10,1.9333053551353332e-07,1.7977112922334414e-09,8.724566472897141,9.534383998302092,6.965876881875924,8.017410580375387,5.327305890654695,9.215799030239223,7.7602741974464395
1.1613316645600769,0.8977369758743765,0.9292811883342244,0.37896652126034985,0.2382727299312263,1.1021063246822904e-10,1.9287712305062532e-07,1.7912661883758746e-09,8.726059952747919,9.536934543098015,6.96565054625229,8.023243662583111,5.334776104385423,9.220558188734442,7.769814559149497
1.1599933856283262,0.8956265901177,0.9259375681561828,0.37711061621583947,0.23678311568790286,1.1008362950086999e-10,1.924237105877173e-07,1.784821084518308e-09,8.726942596923758,9.538895117611162,6.9647795699324515,8.028509397289142,5.341767912527097,9.224734031460548,7.7787012593983285
