#a,#b,#Lens diameter,#Lens thickness,#Height va int,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
0.9000551857383166,0.7058511738535802,0.7750551857383166,0.37435577266510667,0.17117998425115194,6.226105203814156,6.716445572462438,5.18387975518775,5.682549106836646,3.9012737347742137,6.4759875828131435,5.5486490815368
0.8996991026522632,0.7045455358713844,0.7739869364801563,0.37162580233869713,0.17021262520070685,6.219208819711592,6.709705372354388,5.1768520511023,5.679247538915657,3.901862772181394,6.470501090593018,5.546833237857425
0.8993430195662097,0.7032398978891885,0.7729186872219961,0.36889583201228765,0.16924526615026175,6.212206080783528,6.7028643449234515,5.169737449240359,5.675797183660361,3.9021761642203145,6.464884119916169,5.544803539456154
0.8989869364801563,0.7019342599069927,0.7718504379638358,0.36616586168587817,0.16827790709981663,6.2054277054733324,6.6962394673917975,5.162914466700189,5.672580305167739,3.902945232742359,6.459511619592408,5.543071365390961
0.8986308533941029,0.7006286219247968,0.7707821887056756,0.36343589135946863,0.16731054804937154,6.198566588003069,6.689536187023385,5.1559153902957044,5.669306452269693,3.903494949911717,6.454062803959481,5.541263555463304
0.8982747703080495,0.699322983942601,0.7697139394475153,0.36070592103305915,0.16634318899892644,6.191695024510495,6.682829934198612,5.148837330866698,5.665971452172244,3.903978039642108,6.448592722691722,5.5393581084907035
0.8979186872219961,0.6980173459604051,0.7686456901893551,0.35797595070664967,0.16537582994848132,6.185094226179391,6.6763856675798365,5.142113890191689,5.662947994361446,3.904720169449509,6.443377887381508,5.537769288356754
0.8975626041359426,0.6967117079782092,0.7675774409311948,0.35524598038024013,0.16440847089803623,6.178220525607792,6.66967853755127,5.135081937949867,5.659604653365665,3.905153335243768,6.4378984292727655,5.535867981442781
0.8972065210498892,0.6954060699960134,0.7665091916730347,0.35251601005383065,0.16344111184759114,6.171648761719878,6.663266568800691,5.128364790783396,5.656610838354618,3.9059235978469182,6.43273524713275,5.534340320605467
0.8968504379638358,0.6941004320138175,0.7654409424148744,0.34978603972742117,0.16247375279714601,6.165009758673563,6.656793790385996,5.1215372481043255,5.653583685340578,3.906783694954905,6.427525741941781,5.53279380784871
0.8964943548777824,0.6927947940316217,0.7643726931567142,0.3470560694010117,0.16150639374670092,6.158282142553755,6.650239964931002,5.1146646160520275,5.650361126318005,3.907334514519233,6.422180064228507,5.531034919347451
0.896138271791729,0.6914891560494258,0.7633044438985539,0.34432609907460215,0.16053903469625583,6.1518575760102765,6.643974507030842,5.108077100030175,5.647510213164474,3.9083440965291514,6.417167257272722,5.529609698342894
0.8957821887056756,0.6901835180672301,0.7622361946403937,0.3415961287481927,0.1595716756458107,6.145318456827858,6.637605535178644,5.101329903415978,5.644530020679359,3.909088693223765,6.412030750891319,5.528114839688666
0.8954261056196221,0.6888778800850343,0.7611679453822334,0.3388661584217832,0.1586043165953656,6.138998315475181,6.631453553081028,5.094799982239815,5.641779614106529,3.9100465536625104,6.407145688365197,5.526799206038322
0.8950700225335687,0.6875722421028384,0.7600996961240732,0.3361361880953737,0.1576369575449205,6.132707754277422,6.625335957831796,5.088374337060253,5.63906614893634,3.911110978615146,6.40224519234895,5.525552448411422
0.8947139394475153,0.6862666041206426,0.759031446865913,0.3334062177689642,0.1566695984944754,6.126424679693065,6.619217673364249,5.081825020506598,5.636289280055652,3.9120837010952716,6.3973482763846,5.524228518673392
0.8943578563614619,0.6849609661384467,0.7579631976077527,0.3306762474425547,0.1557022394440303,6.119971666582143,6.612945722475614,5.0752787936522825,5.633408399960348,3.9130034995683007,6.39232268508858,5.52283270128783
0.8940017732754085,0.6836553281562509,0.7568949483495925,0.3279462771161452,0.15473488039358518,6.113782659775391,6.606933763455447,5.068813676045165,5.630760299578527,3.914039395941106,6.387535904480157,5.521624078222898
0.8936456901893551,0.682349690174055,0.7558266990914322,0.3252163067897357,0.1537675213431401,6.107708436049412,6.601026976495733,5.062468996536415,5.628243506429897,3.9152092939837195,6.382875956578651,5.520589254824465
0.8932896071033016,0.6810440521918592,0.754758449833272,0.3224863364633262,0.152800162292695,6.101645155459501,6.595138864843841,5.056175782069182,5.625696149255553,3.9165101502422064,6.37819902839025,5.5195005480847295
0.8929335240172482,0.6797384142096633,0.7536902005751117,0.3197563661369167,0.15183280324224988,6.095523869224486,6.589200322155628,5.049920829020491,5.623058365607579,3.917519624043844,6.3734590015509065,5.518286703409436
0.8925774409311948,0.6784327762274674,0.7526219513169515,0.31702639581050723,0.15086544419180478,6.089661080699407,6.583506665976975,5.043732505408287,5.620814950750532,3.918957696821951,6.369042475692675,5.517542291508432
0.8922213578451414,0.6771271382452716,0.7515537020587912,0.3142964254840977,0.1498980851413597,6.083672965698749,6.577704271048044,5.037516932884804,5.618339615932701,3.9202179963640615,6.364449503068137,5.516489361279636
0.8918652747590881,0.6758215002630757,0.7504854528006311,0.3115664551576882,0.14893072609091457,6.077811255470732,6.572024368663621,5.031444356774116,5.616113742656912,3.921739366770072,6.360043798438079,5.515795337736642
0.8915091916730347,0.6745158622808799,0.7494172035424708,0.30883648483127873,0.14796336704046947,6.071932441302106,6.566324489766785,5.025225382890798,5.613739236241886,3.9229904559702278,6.355563222582358,5.514836883987234
0.8911531085869812,0.673210224298684,0.7483489542843106,0.30610651450486925,0.14699600799002438,6.066167307481879,6.56074724524267,5.019217120023109,5.611510000158838,3.924564635448279,6.351218827467767,5.514124747176052
