#b,#Height va int,#Diffusion coef,#Perm va,#Perm vr,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
0.5912508589084725,0.21453144771300248,1.0678005630145023e-10,2.7811516141980507e-07,2.2862239360157226e-09,4.214550666340013,4.270232221638701,4.070776030577168,3.5998646772490006,3.913824193882339,2.9514357531376527,2.8948506840851467
0.5919512480135309,0.21497983633369017,1.0379172945320119e-10,2.6977274896844313e-07,2.276963235626617e-09,4.318678416387836,4.373775017200819,4.17215109799124,3.6893418577187873,4.009261085072437,3.0252205170353195,2.9649469336204843
0.5926516371185893,0.21609112038038278,1.0119659739504787e-10,2.614303365170812e-07,2.2677025352375123e-09,4.410121111707701,4.464789300537722,4.260889035276904,3.7672084009628946,4.0927083355927305,3.088807077619875,3.023807559617714
0.5933520262236477,0.21720240442707536,1.0418492424329691e-10,2.5308792406571926e-07,2.2584418348484067e-09,4.333594638306907,4.390288634425401,4.185025480929968,3.7049870906043174,4.026347604960708,3.0393783240535743,2.9800131716653797
0.594052415328706,0.21831368847376798,1.0717325109154596e-10,2.447455116143573e-07,2.249181134459302e-09,4.261848232178311,4.320316135491961,4.114050932222583,3.6468613914138626,3.9641154093965296,2.993616267092941,2.9393178361345287
0.5947528044337644,0.21942497252046056,1.101615779397949e-10,2.3640309916299573e-07,2.239920434070197e-09,4.194579930226364,4.254602556378837,4.0475695312791435,3.592665078054177,3.9058499114594505,2.9512170227687835,2.9015911284475084
0.5954531935388228,0.22053625656715317,1.1285009521195605e-10,2.280606867116338e-07,2.230659733681092e-09,4.139438133648385,4.200754785050524,3.9931315481254503,3.548855436479542,3.858480505403484,2.9175293912129057,2.8720236074769137
0.5961535826438811,0.22164754061384578,1.09861768363707e-10,2.197182742602719e-07,2.221399033291987e-09,4.235472145289166,4.296617220834491,4.086293784282255,3.6313316833935514,3.946752685085145,2.9855297533733895,2.935859490014823
0.5968539717489395,0.22275882466053842,1.0687344151545795e-10,2.1137586180890995e-07,2.2121383329028816e-09,4.3362490929048345,4.39708325969124,4.184138201790296,3.7179210618184806,4.039325866247817,3.0572572400685747,3.0028180068038033
0.5975543608539978,0.22387010870723104,1.038851146672089e-10,2.0303344935754802e-07,2.202877632513777e-09,4.442477085595297,4.502825509896025,4.2873776386689055,3.809274334122863,4.136789408223045,3.1328940293587455,3.0734543454681673
0.5982547499590563,0.22498139275392356,1.0110321218104004e-10,1.946910369061864e-07,2.193616932124672e-09,4.547702401482663,4.607482748709896,4.389717608486816,3.9000426521313614,4.2334262387208765,3.208397316247728,3.1438297144522247
0.5989551390641146,0.22609267680061623,1.0409153902928908e-10,1.8634862445482446e-07,2.1843562317355664e-09,4.479075051301946,4.5405178349189415,4.322170498583865,3.846251974947237,4.174874426251368,3.168105159101818,3.1092079234636025
0.599655528169173,0.22720396084730882,1.0707986587753814e-10,1.7800621200346255e-07,2.1750955313464617e-09,4.416346703325443,4.479172955157162,4.26059929898023,3.7977509575182626,4.121649047962244,3.1326356599143295,3.0789151161769377
0.6003559172742313,0.22831524489400143,1.1006819272578718e-10,1.6966379955210062e-07,2.1658348309573565e-09,4.359403467211439,4.42338001410102,4.204911956498595,3.7545010839381554,4.073674029351987,3.101951778020485,3.0531034916075246
0.6010563063792898,0.22942652894069404,1.1294348042596376e-10,1.6132138710073868e-07,2.1565741305682513e-09,4.311476614978681,4.376343693975922,4.158210220196352,3.719318017792475,4.033913564354311,3.0784935341804065,3.0338822055325863
0.6017566954843481,0.23053781298738663,1.0995515357771482e-10,1.5297897464937704e-07,2.1473134301791465e-09,4.421060288475394,4.485518324489002,4.265042279338067,3.815711347788187,4.135759275117134,3.1607153231093554,3.1117986844864203
0.6024570845894064,0.23164909703407924,1.0696682672946578e-10,1.4463656219801513e-07,2.1380527297900413e-09,4.537302480960312,4.601121734602931,4.37849260801682,3.9181748833233607,4.243721411089863,3.248483053197678,3.194753690066954
0.6031574736944648,0.23276038108077182,1.0397849988121673e-10,1.362941497466532e-07,2.1287920294009366e-09,4.660844567801276,4.7238299680930105,4.49928946115016,4.027435867552939,4.35853150223685,3.3425593315742455,3.283600092478977
0.6038578627995231,0.2338716651274645,1.0100982696703227e-10,1.2795173729529128e-07,2.119531329011831e-09,4.791799718370335,4.853626762755303,4.627524294996504,4.143583999893808,4.480161352806757,3.4431352881883606,3.378360989571561
0.6045582519045816,0.23498294917415707,1.0399815381528136e-10,1.2839067515607063e-07,2.110270628622726e-09,4.70211022155493,4.766211428851246,4.5384817241062185,4.067910165661884,4.400653790305713,3.380222929108986,3.3213498539238895
0.6052586410096399,0.23609423322084963,1.069864806635303e-10,1.3673308760743227e-07,2.1010099282336214e-09,4.580206259439511,4.647496236267644,4.416349398053717,3.9579132253550036,4.28855465106408,3.2809950809320583,3.2276031518091917
0.6059590301146982,0.2372055172675423,1.0997480751177936e-10,1.4507550005879418e-07,2.091749227844516e-09,4.465333872305397,4.5354144033440384,4.301425592776376,3.8546220181482913,4.182932451072028,3.1882279969704075,3.1399024914645763
0.6066594192197566,0.23831680131423488,1.1296313436002843e-10,1.5341791251015614e-07,2.082488527455411e-09,4.35678665115293,4.429345937664426,4.193002902924405,3.7572060896795714,4.083086724178144,3.101268942886598,3.0573636988450534
0.607359808324815,0.2394280853609275,1.1004853879172254e-10,1.6176032496151808e-07,2.0732278270663055e-09,4.409350179205511,4.48342516700045,4.241150229965627,3.794405201830475,4.12846828728935,3.12201105838778,3.0737576054794205
0.6080601974298734,0.2405393694076201,1.070602119434735e-10,1.7010273741287999e-07,2.0639671266772007e-09,4.470640534240382,4.546099940113825,4.297840361037429,3.8393715282400773,4.181927096840034,3.1493648657403033,3.096467683501883
0.6087605865349317,0.2416506534543127,1.0407188509522456e-10,1.784451498642416e-07,2.054706426288096e-09,4.538894148289124,4.615625574654025,4.361435553943818,3.890554562237412,4.241839258766576,3.18238913304128,3.1243458290944095
0.6094609756399901,0.2427619375010053,1.0108355824697552e-10,1.8678756231560354e-07,2.0454457258989907e-09,4.614045799956982,4.691918415587501,4.431869795564038,3.9478296061514366,4.308068838197429,3.220824011240587,3.1568953218049556
