#a,#b,#Lens diameter,#Lens thickness,#Height va int,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
1.1797968027761132,0.9325422450643642,0.9707967388653157,0.41545455771174894,0.27600726817600807,8.969213132884898,9.807103786050746,7.154210139710075,8.154352821329864,5.321056345997705,9.440688535254882,7.806479582620774
1.178091376419524,0.9298941830488603,0.969930072198649,0.4146917670140745,0.2752289736023646,8.932531622308437,9.7666413666269,7.128061871262833,8.120047495757593,5.300476581904631,9.40103230995436,7.7736077299339525
1.1763859500629348,0.9272461210333565,0.9690634055319823,0.4139289763164001,0.27445067902872117,8.895700641433567,9.72603482970426,7.101731045478692,8.085536329118934,5.2795648034280624,9.361219625111525,7.7405388059361275
1.1746805237063458,0.9245980590178526,0.9681967388653157,0.4131661856187257,0.2736723844550778,8.859454236988608,9.68600061531522,7.075955029602412,8.051664237820795,5.259301230015247,9.321995094878051,7.708124183009647
1.1729750973497566,0.9219499970023487,0.967330072198649,0.41240339492105127,0.2728940898814344,8.82256553479764,9.645333956979382,7.049575890359816,8.017070075873741,5.238458004370164,9.282127223679677,7.6749875172978
1.1712696709931674,0.9193019349868449,0.9664634055319823,0.41164060422337684,0.27211579530779095,8.786572209908854,9.60553453537676,7.024006156784924,7.983361874269555,5.218104561021714,9.243081236153554,7.64264194348268
1.1695642446365782,0.9166538729713409,0.9655967388653157,0.4108778135257024,0.27133750073414753,8.749987625960944,9.565174931893496,6.997883160776801,7.94912871136604,5.197480651494325,9.203546505814382,7.609872146607693
1.1678588182799892,0.9140058109558371,0.964730072198649,0.41011502282802803,0.27055920616050416,8.713645358533599,9.525036023968605,6.971976798622964,7.9150193026711015,5.176837547082434,9.164160347115097,7.577131908356958
1.1661533919234,0.9113577489403333,0.9638634055319824,0.4093522321303536,0.26978091158686074,8.677279674241614,9.484884937762613,6.946002212820763,7.881099094362879,5.156390801126557,9.124848467311148,7.544664411158472
1.1644479655668107,0.9087096869248293,0.9629967388653157,0.40858944143267917,0.2690026170132173,8.641071466309802,9.444880775398728,6.920186412402066,7.847248432084087,5.136192893834908,9.085676177689132,7.512252278755901
1.1627425392102217,0.9060616249093255,0.962130072198649,0.40782665073500474,0.2682243224395739,8.60481602826269,9.404832458830919,6.894301880865979,7.813185103168059,5.115472725877255,9.046360503354721,7.479475558061876
1.1610371128536325,0.9034135628938216,0.9612634055319824,0.4070638600373303,0.2674460278659305,8.568598628371731,9.364827928480661,6.868443779670257,7.77936636122563,5.095070971231907,9.007193331210633,7.447166705938652
1.1593316864970433,0.9007655008783177,0.9603967388653157,0.40630106933965593,0.2666677332922871,8.532439372948009,9.324873122271985,6.842594388929391,7.74555502274651,5.0748091516651535,8.968082566860641,7.414720449544729
1.157626260140454,0.8981174388628138,0.959530072198649,0.4055382786419815,0.2658894387186437,8.496472432536734,9.2851070855166,6.816948092191446,7.711903198108772,5.054400089188188,8.929100562258116,7.382482384998736
