#a,#b,#Lens diameter,#Lens thickness,#Height va int,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
1.1526011738535802,0.9114285477008705,0.9569764147128649,0.40937262615270975,0.2635961720677248,8.715923963306029,9.51792498942493,6.980284475760186,7.927591219092809,5.198804941333199,9.161856739836205,7.608908099615237
1.1508957474969912,0.9087804856853666,0.9561097480461982,0.4086098354550353,0.2628178774940814,8.679678267619694,9.477949708199766,6.954408314617321,7.8936462278833766,5.1782008187857995,9.122657656294844,7.5763626517690685
1.149190321140402,0.9061324236698627,0.9552430813795315,0.40784704475736094,0.262039582920438,8.643293039302618,9.437829233444118,6.928377095445738,7.859512783334351,5.15750404430038,9.083303515520738,7.543522924873477
1.1474848947838128,0.9034843616543589,0.9543764147128648,0.4070842540596865,0.2612612883467946,8.607447759758022,9.398238518852175,6.902799492461747,7.825998357563379,5.137349517447213,9.044533524432229,7.511455417279208
1.1457794684272236,0.900836299638855,0.9535097480461983,0.4063214633620121,0.26048299377315115,8.571496997792062,9.358542792130729,6.877138339571065,7.792400771636429,5.117190828110261,9.005657503404926,7.479212619665585
1.1440740420706346,0.8981882376233511,0.9526430813795316,0.40555867266433765,0.2597046991995078,8.535277106314924,9.3185879382349,6.851217520968898,7.758413354463491,5.0965281760204935,8.96645076469523,7.446558474996122
1.1423686157140454,0.8955401756078473,0.9517764147128649,0.4047958819666633,0.25892640462586436,8.499336421705305,9.27890795734642,6.825583223305963,7.72480767525925,5.0762492590431725,8.927596922738344,7.414361666426515
1.1406631893574561,0.8928921135923433,0.9509097480461982,0.40403309126898884,0.25814811005222094,8.46353361695959,9.239352070988906,6.800004767942787,7.691320346559774,5.056086864199995,8.88885856912349,7.382202093196344
1.1389577630008672,0.8902440515768395,0.9500430813795315,0.4032703005713144,0.2573698154785775,8.42774928376639,9.199829998378897,6.774391301177691,7.657760215288251,5.035651656988415,8.85006335127724,7.350010152063187
1.137252336644278,0.8875959895613356,0.9491764147128648,0.40250750987364,0.2565915209049341,8.391830173878915,9.16016600425459,6.748694258426502,7.624194988594644,5.015403807500842,8.811247618297159,7.317905208285514
1.1355469102876887,0.8849479275458317,0.9483097480461982,0.4017447191759656,0.2558132263312907,8.356241131525108,9.120824978986619,6.723270485716125,7.590854912454126,4.995306223425219,8.772691233215218,7.285856093087759
1.1338414839310995,0.8822998655303279,0.9474430813795316,0.40098192847829117,0.2550349317576473,8.32044322697568,9.081285887470994,6.697665716588398,7.557369553907435,4.975061280078887,8.733952453771893,7.253630833028448
1.1321360575745105,0.879651803514824,0.9465764147128649,0.40021913778061674,0.2542566371840039,8.284709368637218,9.041809197359008,6.672044504437127,7.52388224368868,4.95456452180898,8.695253910711013,7.221470022931285
1.1304306312179213,0.8770037414993201,0.9457097480461982,0.3994563470829423,0.25347834261036045,8.249208592985045,9.002553628036983,6.646684765511929,7.490701470543927,4.934711224778252,8.65683747878219,7.189670217454729
1.128725204861332,0.8743556794838162,0.9448430813795315,0.39869355638526793,0.25270004803671703,8.213796966704233,8.963383925723335,6.621365206236567,7.457594877556097,4.91470795221284,8.61847543451377,7.157924200470546
1.127019778504743,0.8717076174683124,0.9439764147128649,0.3979307656875935,0.25192175346307366,8.178066891093414,8.923918784076728,6.595763055791334,7.424103585105966,4.894335797173221,8.579780413458487,7.125698057995349
