Axial length (cm),Vitreous volume (mL),Source,Semi-axis a (cm),Semi-axis b (cm)
2.40644257703081,4.98133425932357,de Santana et al. (2021),1.1389235025553728,0.941696288515405
2.40844337735094,5.38610178616901,de Santana et al. (2021),1.182486872430758,0.94269668867547
2.4125116713352,4.98283405483406,de Santana et al. (2021),1.1372595163384454,0.9447308356676001
2.41531279178338,5.3845758424582,de Santana et al. (2021),1.1801754366202895,0.9461313958916899
2.41764705882353,5.18390017825312,de Santana et al. (2021),1.1578104175455106,0.9472985294117651
2.42418300653595,4.9811669637552,de Santana et al. (2021),1.1335785809911736,0.9505665032679751
2.42745098039216,5.58404278074866,de Santana et al. (2021),1.1974749535078812,0.9522004901960799
2.43211951447246,5.38582870724047,de Santana et al. (2021),1.1751023790112893,0.9545347572362299
2.43398692810457,5.18316339869281,de Santana et al. (2021),1.152769894862959,0.955468464052285
2.44472455648926,5.18350632374162,de Santana et al. (2021),1.1495818102543662,0.9608372782446299
2.45032679738562,5.38497401825744,de Santana et al. (2021),1.1694479930182944,0.9636383986928101
2.44985994397759,5.58309294626942,de Santana et al. (2021),1.1903923628723552,0.9634049719887949
2.45826330532213,5.78510975299211,de Santana et al. (2021),1.208603845486353,0.9676066526610649
2.46433239962652,5.58250810627281,de Santana et al. (2021),1.1858861679551747,0.97064119981326
2.46806722689076,5.9847354214413,de Santana et al. (2021),1.2257098952927246,0.97250861344538
2.47320261437908,5.386229352347,de Santana et al. (2021),1.1627009672136255,0.9750763071895401
2.47771553065671,5.78378700166936,de Santana et al. (2021),1.2024406358731983,0.977332765328355
2.48172268907563,5.58138171632289,de Santana et al. (2021),1.1804936275468485,0.9793363445378149
2.48627450980392,5.78407843137255,de Santana et al. (2021),1.1998461966400156,0.9816122549019599
2.49223985890653,5.9862693414066,de Santana et al. (2021),1.2183162625289157,0.984594929453265
2.48767507002801,5.58316679399032,de Santana et al. (2021),1.1788879668977277,0.982312535014005
2.49934640522876,5.78388829471183,de Santana et al. (2021),1.1958523118878879,0.98814820261438
2.50261437908497,5.986229352347,de Santana et al. (2021),1.2151156180486167,0.989782189542485
2.51195144724556,5.78467543785191,de Santana et al. (2021),1.192136075195723,0.99445072362278
2.51241830065359,6.18173737373737,de Santana et al. (2021),1.2313216683146384,0.9946841503267949
2.52175536881419,6.38473881673882,de Santana et al. (2021),1.248024306542772,0.999352684407095
2.52222222222222,5.98467368875925,de Santana et al. (2021),1.2089883711996927,0.99958611111111
2.52315592903828,6.18158119005178,de Santana et al. (2021),1.2279968460120936,1.00005296451914
2.52875816993464,5.98518360071301,de Santana et al. (2021),1.2070671971787488,1.00285408496732
2.558954807513483,6.602278656583337,Zhou et al. (2020) (pathological myopia),1.2570295282028345,1.0179524037567416
2.603705597917054,7.352152614951071,Zhou et al. (2020) (pathological myopia),1.3108079701183188,1.040327798958527
2.640145527245676,7.732877602016668,Zhou et al. (2020) (pathological myopia),1.332106384756482,1.058547763622838
2.649734982332155,6.9466530167431735,Zhou et al. (2020) (pathological myopia),1.2609479218116701,1.0633424911660776
2.6561279523898085,8.051033981704698,Zhou et al. (2020) (pathological myopia),1.353671772517431,1.0665389761949042
2.6939940058082144,7.972361783940001,Zhou et al. (2020) (pathological myopia),1.3353512595451855,1.0854720029041072
2.6962293100241768,7.671684114351134,Zhou et al. (2020) (pathological myopia),1.3096822383621367,1.0865896550120884
2.72389343500093,8.151747520447366,Zhou et al. (2020) (pathological myopia),1.3408411543874503,1.100421717500465
2.7509996280453786,7.690068946790985,Zhou et al. (2020) (pathological myopia),1.2950060429694012,1.1139748140226893
2.752022503254602,7.064086390806116,Zhou et al. (2020) (pathological myopia),1.2418455140914682,1.114486251627301
2.759694067323786,8.687018262276677,Zhou et al. (2020) (pathological myopia),1.3723498333712623,1.118322033661893
2.767578730394892,7.508919234283325,Zhou et al. (2020) (pathological myopia),1.27519347743151,1.122264365197446
2.7778268551236747,7.246210128096459,Zhou et al. (2020) (pathological myopia),1.2502388095349413,1.1273884275618373
2.792937511623582,7.769215019319047,Zhou et al. (2020) (pathological myopia),1.2894588893881167,1.134943755811791
2.873488934350009,8.054172583468183,Zhou et al. (2020) (pathological myopia),1.2898092488714543,1.1752194671750045
2.8824390924307237,8.516350186585647,Zhou et al. (2020) (pathological myopia),1.323188227247198,1.1796945462153619
2.975776455272457,9.168230903867112,Zhou et al. (2020) (pathological myopia),1.3457710875433064,1.2263632276362284
3.0486563139297003,9.571057758990786,Zhou et al. (2020) (pathological myopia),1.3546188702297082,1.2628031569648501
3.0627208480565367,8.14539223348708,Zhou et al. (2020) (pathological myopia),1.2477184492864548,1.2698354240282683
3.125371954621536,9.091364221789242,Zhou et al. (2020) (pathological myopia),1.3011090687560347,1.301160977310768
3.172679933048168,9.366427793005515,Zhou et al. (2020) (pathological myopia),1.3085204267015709,1.324814966524084
3.184187279151943,8.699831577556886,Zhou et al. (2020) (pathological myopia),1.2590552311466117,1.3305686395759715
3.393876697042961,9.765952247283778,Zhou et al. (2020) (pathological myopia),1.28325614812441,1.4354133485214804
3.4424632694811232,13.602443776625607,Zhou et al. (2020) (pathological myopia),1.4989301430427007,1.4597066347405616
3.462920773665613,11.127096198936629,Zhou et al. (2020) (pathological myopia),1.3524553254994258,1.4699353868328064
2.8834586466165413,9.14018691588785,Zhou et al. (2020) (pathological myopia),1.3697667276692695,1.1802043233082706
2.806390977443609,8.900934579439252,Zhou et al. (2020) (pathological myopia),1.374612365358907,1.1416704887218045
2.770676691729323,8.437383177570094,Zhou et al. (2020) (pathological myopia),1.3494855670803425,1.1238133458646615
2.31,4.643550017746097,Atchison et al. (2004),1.13,0.893475
2.39,5.12612266157734,Atchison et al. (2004),1.16,0.933475
2.46,5.465485194302117,Atchison et al. (2004),1.175,0.968475
2.47,5.351580105559763,Atchison et al. (2004),1.16,0.9734750000000001
2.47,5.351580105559763,Atchison et al. (2004),1.16,0.9734750000000001
2.47,5.351580105559763,Atchison et al. (2004),1.16,0.9734750000000001
2.56,5.855324421376425,Atchison et al. (2004),1.185,1.018475
2.62,6.241714577652162,Atchison et al. (2004),1.205,1.048475
