a,b,AL,volume,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
1.0923624945696169,0.8374361551857585,2.197922310371517,4.050406174903353,7.562711984301246,8.252323909956479,6.137859930262682,6.822765526003613,4.493168718411846,7.907987395565632,6.526000237876816
1.0784836755300693,0.8598910458591331,2.2428320917182663,4.054121463564703,7.838496632039396,8.553768644107015,6.32774304595336,7.090669814135785,4.660378170265819,8.20414921950523,6.80665450485455
1.1274795432487166,0.897732086880805,2.31851417376161,4.64492346672239,8.578054256201147,9.367442228286402,6.861824226421204,7.829062735508708,5.159270994225537,9.025614695662446,7.541801576679318
1.1440542186788805,0.9075098055340556,2.338069611068111,4.840109445199039,8.788166204573914,9.59867079839184,7.013869142861993,8.039250532777563,5.302108211381954,9.25956213367878,7.750138674628474
1.1053254130360517,0.9079754111842104,2.339000822368421,4.51133306342075,8.647387559797092,9.439100473866027,6.9051391944499265,7.8923643429279196,5.1944442781090965,9.09115784790173,7.613462629409388
1.138957338590974,0.9119330592105264,2.3469161184210527,4.819910896196843,8.836633187391994,9.650406324822388,7.046791192937448,8.085978948267933,5.331459080846074,9.309789439663314,7.7992650173681195
1.0966344963559085,0.9132045207936412,2.3494590415872825,4.464890245874958,8.690701751108929,9.484545699127958,6.933438307971121,7.932960856111162,5.218892210754197,9.134044491328662,7.6575975178328495
1.1620893645851038,0.9140282846362228,2.3511065692724458,5.035088031166679,8.954953576863028,9.783069302782357,7.135508881226845,8.206979377002659,5.417151179369973,9.447256308924514,7.915081958511472
1.0815782092796256,0.915890707236842,2.354831414473684,4.352601609027269,8.668416256747138,9.457763093724434,6.913718971018803,7.907146706161724,5.197283783934926,9.10325553781179,7.636441264160423
1.076497740573528,0.9274532475490196,2.377956495098039,4.366664884481766,8.81736596043858,9.61783722172896,7.017744609587637,8.052237823735576,5.292562238873854,9.260879366575269,7.784990168075435
1.1448637819151943,0.9293932710913312,2.3818365421826626,4.967300308222756,9.127141505225548,9.96629892533668,7.253142082400883,8.373371382792158,5.523129215114795,9.62541294178063,8.088795968070453
1.0780166008428356,0.942663032120743,2.408376064241486,4.453417223905547,9.048241525582874,9.867104699150484,7.181635333733523,8.279541250471897,5.445150011888714,9.50894116402099,8.014028749446455
1.126022095329584,0.9866627660603716,2.496375532120743,5.104890424198097,9.927549750607378,10.822257883895393,7.8165063573687386,9.15722625335698,6.046721447822406,10.471623897475617,8.883762240462715
1.1095586115009797,1.032990528250774,2.589031056501548,5.191684189217426,10.55358006600726,11.482887704201051,8.261149189122378,9.76856474411506,6.466449929719826,11.123895180102604,9.499700360984873
1.1228067809757347,1.040243231647416,2.603536463294832,5.357953563649807,10.73312915926966,11.677476854123084,8.392030031290213,9.949145928776984,6.591952065223486,11.32117922920773,9.677131611788441
1.1210497613751986,0.994067105263158,2.511184210526316,5.097690941385434,10.01772189006221,10.917120060981567,7.8798008681548755,9.244676761605469,6.106053229184456,10.564604699243434,8.972757232416184
1.0922779013982564,0.8779486842105262,2.2789473684210524,4.25222024866785,8.152536321469341,8.898647097826425,6.552830161626336,7.402716799402007,4.868750072672783,8.550609848034647,7.120100579422728
1.073344585599974,0.8782776315789473,2.2796052631578947,4.103019538188277,8.085456501275294,8.823042122827141,6.500154063851575,7.332225201477268,4.815988732526115,8.470411037728667,7.055370690876998
1.1250035340475242,0.900317105263158,2.323684210526316,4.637655417406749,8.607896656720099,9.399499018278263,6.882204087514222,7.857876635660091,5.177518178559497,9.05683996253927,7.571923971473396
1.101472987004582,0.926961842105263,2.376973684210526,4.575488454706926,8.915531807583914,9.728795068604988,7.093425108382043,8.155255713753784,5.367660650677395,9.378076737421798,7.88109900806948
1.1085876518423172,0.9295934210526317,2.382236842105263,4.6500888099467135,8.9844013816294,9.80464120530854,7.143857201755164,8.224682938132299,5.415602848602036,9.45533357804634,7.949090301944756
1.1134037299888009,0.9335407894736842,2.3901315789473685,4.712255772646536,9.06392604787002,9.89150150228124,7.201260132389505,8.30417777933737,5.469781999428051,9.543006057320337,8.02802310123123
1.11449000812161,0.9365013157894736,2.3960526315789474,4.737122557726464,9.113130872920351,9.944849194246272,7.236286416172448,8.352826217959967,5.502652743829208,9.596307589283184,8.076872407173463
1.1006519720662236,0.9381460526315788,2.3993421052631576,4.625222024866785,9.0796804423241,9.905823569196123,7.209432502167063,8.316510197680405,5.4750875333187174,9.553786726386246,8.044337275860237
1.1115655631821486,0.9414355263157894,2.405921052631579,4.737122557726464,9.17557686297706,10.011550753419893,7.279863793300636,8.413507367941682,5.542501589778675,9.661799480045808,8.13898597388665
1.112069431924674,0.945382894736842,2.413815789473684,4.761989342806394,9.237542660421505,10.07840988903325,7.323904602838489,8.474638753989733,5.583460532407957,9.728393180925977,8.200516841344927
1.0936557963830296,0.8881460526315785,2.299342105263157,4.314387211367673,8.307778740175351,9.068085888474117,6.662563246262321,7.555577685372898,4.9692575895984605,8.719315222278109,7.275230808718416
1.0696993063275613,0.8894618421052631,2.3019736842105263,4.127886323268206,8.233561912409366,8.983882557472336,6.603496698157737,7.476745155779385,4.909237150726331,8.62915429663096,7.203892843231052
1.088346974353424,0.9519618421052632,2.4269736842105263,4.587921847246891,9.232361620802392,10.067480712278204,7.314666919918181,8.4633756533859,5.571233217136447,9.710996724553194,8.196199697416283
1.096150813612448,0.9532776315789472,2.4296052631578946,4.662522202486677,9.286783592175498,10.12779695555878,7.355081906481152,8.518920121840848,5.609871402388794,9.773082584036482,8.249795953952598
1.0785552322613037,0.9565671052631576,2.4361842105263154,4.5257548845470685,9.256112505371416,10.090741929785278,7.3291973546951406,8.483860868154983,5.582807747929328,9.731225475031772,8.2197196511052
1.0839881495582664,0.9621592105263156,2.4473684210526314,4.600355239786856,9.364019609903961,10.207852513436745,7.407071038118646,8.591527863147338,5.6567037311785,9.849184770526161,8.32648585574755
1.0870839452313774,0.9591986842105262,2.4414473684210525,4.61278863232682,9.333985470591148,10.17640128770734,7.386435122920067,8.562874167062347,5.637905456530853,9.818840154976208,8.296816066605295
1.095874991906132,0.9611723684210524,2.445394736842105,4.699822380106571,9.4032106199411,10.252857727035074,7.4374934887538044,8.633345437365643,5.6870686604900325,9.897299519422633,8.36515705140917
1.1402666738131535,0.9608434210526317,2.444736842105263,5.097690941385434,9.593145136376881,10.467696039749995,7.581730203831772,8.831315602793644,5.828120343677786,10.122802587107984,8.552428720997758
1.1221664276483685,0.963803947368421,2.450657894736842,4.948490230905861,9.560553957829612,10.428176047109213,7.554920840760203,8.794988716506177,5.8008303562008665,10.078788926516777,8.520644286066801
1.1329095073240476,0.9687381578947364,2.460526315789473,5.072824156305505,9.683140562882253,10.56244776994546,7.644110615273499,8.918282082882646,5.885725025745214,10.215122935308136,8.641894333343757
1.1493796384706487,0.970382894736842,2.463815789473684,5.234458259325043,9.77978440712663,10.670413676637013,7.715901074148596,9.017227688605645,5.954721724024088,10.326725688549285,8.737369556090906
1.1503416788617746,1.031567105263158,2.586184210526316,5.582593250444049,10.737951523820236,11.69235614108603,8.399028058826834,9.961346329273596,6.59970891025457,11.343410159156967,9.683598468045158
1.1483008525028606,1.0374881578947368,2.5980263157894736,5.595026642984013,10.820216792728061,11.778765355474071,8.4577680356309,10.04182039435444,6.655494108891172,11.42881751168976,9.764392200825025
1.1519226515748993,1.0443960526315783,2.611842105263157,5.669626998223801,10.946303799679564,11.913434774659523,8.548751110005364,10.166937223207231,6.742211308745082,11.563741502973375,9.88857755112581
1.1491810284137458,1.051632894736842,2.626315789473684,5.682060390763764,11.044996384102374,12.016703869564624,8.619273209738845,10.263403269375928,6.809538230388338,11.665748634935994,9.98528491041524
1.149388064345826,1.0624881578947365,2.648026315789473,5.744227353463588,11.215171604277826,12.196241899474634,8.741859747847943,10.431108179257341,6.926648958558603,11.844464879757451,10.152454989439967
1.1564755686916184,1.0716986842105265,2.666447368421053,5.868561278863231,11.39598437466913,12.389446881814486,8.872753518162835,10.61123748505285,7.05227436388892,12.038656158540991,10.33062488599363
1.0893311633087437,0.8476855263157894,2.218421052631579,4.078152753108348,7.7004676540523445,8.403492220448028,6.2338186292350235,6.9574451773246375,4.578501681264554,8.057528255104033,6.665654417749394
1.069875168917215,0.816346148459385,2.15574229691877,3.77872574484339,7.186760207698809,7.836518862476393,5.866653968810183,6.448273302816064,4.243255798747207,7.488795242277022,6.150186189505988
1.0627860865542846,0.826798477539165,2.17664695507833,3.77648069867678,7.310482123254353,7.972549208169754,5.951529182008384,6.568117418406484,4.316639906594949,7.622238722924047,6.27713948811072
1.0354186628837765,0.8276089869281049,2.17826797385621,3.58125014854427,7.225472656502778,7.877302128904161,5.882888990926095,6.47782821633467,4.245716677211929,7.520225492968288,6.1972069143203585
1.0593722422226028,0.831985737628385,2.18702147525677,3.77577523130464,7.371788824484403,8.039838693871795,5.993588520680807,6.627526268533208,4.3532344604642725,7.68824395495543,6.339895577172167
1.0335498797966594,0.8305851774042949,2.18422035480859,3.58116356845769,7.260055635995514,7.915235421846067,5.906695800778748,6.511217033375329,4.266432058625771,7.557345615184488,6.232459385380216
1.084831395606354,0.8347868580765649,2.19262371615313,3.9798292165351,7.499228964601081,8.181880506921873,6.0909797888976485,6.758752115174231,4.448802850485836,7.836102548837915,6.463512901644161
1.0567952110294323,0.83642084500467,2.19589169000934,3.77751786775316,7.425177703855029,8.098385382521121,6.030323474841733,6.679412477904157,4.3855013241529,7.745798419179701,6.394505830688398
1.0760048084580935,0.848559033613445,2.22016806722689,3.97992768016297,7.666351109476462,8.364835653401185,6.205913446054636,6.920987706872063,4.549630612665089,8.01574247704463,6.633960159964452
1.070789168941532,0.8567956615979699,2.23664132319594,3.97968806916706,7.765860640826029,8.473432182957058,6.274366363087257,7.017443367974284,4.609850790235689,8.122268496417163,6.734904589618112
1.043650537176697,0.857896101774045,2.23884220354809,3.77876479076479,7.679821333881917,8.376559617623917,6.205442042687688,6.92600026438533,4.539151091081519,8.018521946076712,6.652919712165216
1.0673259021191108,0.862331209150325,2.24771241830065,3.97952703505645,7.832577519760491,8.546106816537254,6.320310097423478,7.0821595215878475,4.650361903572307,8.193552114256892,6.802505176974012
