a,b,AL,volume,#MFPT P1 (days),#MFPT P2 (days),#MFPT P3 (days),#MFPT P4 (days),#MFPT P5 (days),#MFPT P6 (days),#MFPT P7 (days)
1.0923624945696169,0.8374361551857585,2.197922310371517,4.050406174903353,12.699623232717352,13.75684919216813,10.422759363811021,11.500161952041433,7.747084811340227,13.200713176204205,10.970746553036898
1.0784836755300693,0.8598910458591331,2.2428320917182663,4.054121463564703,13.140819446225642,14.234316680639413,10.730450034243846,11.929665379311611,8.0216466858305,13.670293175549533,11.420381201662506
1.1274795432487166,0.897732086880805,2.31851417376161,4.64492346672239,14.34535631711585,15.548702728367198,11.610672227345392,13.133775314869935,8.848427077188447,14.998047043781963,12.613426754542797
1.1440542186788805,0.9075098055340556,2.338069611068111,4.840109445199039,14.68795376822409,15.922699951658654,11.861467979007305,13.47687968885167,9.08511745978181,15.376632840358793,12.951729064413124
1.1053254130360517,0.9079754111842104,2.339000822368421,4.51133306342075,14.44929821468052,15.654000358104671,11.675982699314888,13.228511973846086,8.902827360961643,15.093873605765873,12.722723208395665
1.138957338590974,0.9119330592105264,2.3469161184210527,4.819910896196843,14.764091806318559,16.003005156718615,11.913840182062357,13.550402780524717,9.132484267937832,15.454636577008175,13.029215102424509
1.0966344963559085,0.9132045207936412,2.3494590415872825,4.464890245874958,14.515685929038815,15.722589633351898,11.719796015274405,13.290744314301248,8.941430658349198,15.158517254992317,12.791026549940948
1.1620893645851038,0.9140282846362228,2.3511065692724458,5.035088031166679,14.96138026331349,16.222671095160713,12.06308979043642,13.752053946663128,9.276328419530781,15.682024272634969,13.220654942205481
1.0815782092796256,0.915890707236842,2.354831414473684,4.352601609027269,14.47467783960569,15.673837978586464,11.684127525932597,13.244234648584865,8.903660149152914,15.10348415846608,12.753088724843767
1.076497740573528,0.9274532475490196,2.377956495098039,4.366664884481766,14.710985042118216,15.925194283367565,11.851232131525954,13.474812577862933,9.058398084105505,15.351253828053242,12.989057171468806
1.1448637819151943,0.9293932710913312,2.3818365421826626,4.967300308222756,15.231602505970985,16.506791945694378,12.250014215945997,14.013584922466482,9.447123505707589,15.958413135463175,13.494367191148655
1.0780166008428356,0.942663032120743,2.408376064241486,4.453417223905547,15.080364380525417,16.32025436729832,12.116725949119632,13.839080571421407,9.307694303568072,15.744819852986145,13.355291900043502
1.126022095329584,0.9866627660603716,2.496375532120743,5.104890424198097,16.501621080819437,17.851037697414778,13.155191413707536,15.259352912463303,10.296579740237682,17.28866630457203,14.756690905431316
1.1095586115009797,1.032990528250774,2.589031056501548,5.191684189217426,17.486974308412744,18.879524614488062,13.86384018690843,16.223100249939083,10.971886339233885,18.305278438972298,15.727596507448139
1.1228067809757347,1.040243231647416,2.603536463294832,5.357953563649807,17.77780156602726,19.192174867321658,14.078249156665258,16.515791113651176,11.178049915766026,18.62234093420121,16.013711181537964
1.1210497613751986,0.994067105263158,2.511184210526316,5.097690941385434,16.642807673911573,17.99782068767089,13.255551304371197,15.396482629537037,10.391738185607222,17.432674115101207,14.89643793571567
1.0922779013982564,0.8779486842105262,2.2789473684210524,4.25222024866785,13.650458435103936,14.789245892432874,11.100201657516655,12.436792673445469,8.366330547803255,14.22818581489165,11.927678456225111
1.073344585599974,0.8782776315789473,2.2796052631578947,4.103019538188277,13.536687385295506,14.661825752026518,11.010350492484736,12.317591815910284,8.277073154615726,14.09345063179861,11.819144223739789
1.1250035340475242,0.900317105263158,2.323684210526316,4.637655417406749,14.392472766766751,15.598753575201945,11.643251587470587,13.179363754023493,8.878023752368238,15.046845144114618,12.661153746465638
1.101472987004582,0.926961842105263,2.376973684210526,4.575488454706926,14.877429526949351,16.11203165257962,11.980421561652294,13.648965612262222,9.185659191390773,15.547969795084759,13.150101522883075
1.1085876518423172,0.9295934210526317,2.382236842105263,4.6500888099467135,14.990232099168287,16.235300664201183,12.063950276684016,13.762773006280188,9.265276986023288,15.673557927929425,13.260896507337037
1.1134037299888009,0.9335407894736842,2.3901315789473685,4.712255772646536,15.119167562679008,16.37496193746023,12.158120466059804,13.891783642532872,9.354587595511129,15.814593815125425,13.388401355941312
1.11449000812161,0.9365013157894736,2.3960526315789474,4.737122557726464,15.198249329315312,16.459927009351183,12.215111664650637,13.970094500913,9.408464246999161,15.899566550499769,13.466792633602216
1.1006519720662236,0.9381460526315788,2.3993421052631576,4.625222024866785,15.13952964682295,16.391980879763544,12.167975867287417,13.906877659816567,9.360930055316093,15.826121798389181,13.410708446344314
1.1115655631821486,0.9414355263157894,2.405921052631579,4.737122557726464,15.296904685254626,16.56417691885077,12.284819823229153,14.066139953615645,9.472973660305295,16.002034416733753,13.565144683241455
1.112069431924674,0.945382894736842,2.413815789473684,4.761989342806394,15.396030007821027,16.67013406825684,12.3561374823069,14.164079906526768,9.539843455267773,16.107671569360306,13.663489829684334
1.0936557963830296,0.8881460526315785,2.299342105263157,4.314387211367673,13.900417251977517,15.059581387159318,11.27910526637402,12.68338088140754,8.531741846297589,14.497633060641089,12.177267692897216
1.0696993063275613,0.8894618421052631,2.3019736842105263,4.127886323268206,13.773378775782914,14.91636872237182,11.177603841542119,12.549021915387186,8.429725542839103,14.344966408775258,12.056697316433956
1.088346974353424,0.9519618421052632,2.4269736842105263,4.587921847246891,15.378336786261762,16.641806202455708,12.334606051159232,14.136943695028656,9.51524347212717,16.069277733509672,13.649191633916486
1.096150813612448,0.9532776315789472,2.4296052631578946,4.662522202486677,15.46835599295648,16.740843286443752,12.402144647002173,14.228823521110288,9.579858702149213,16.171160864043227,13.737240988294264
