a,b,AL,volume,#Prop P1,#Prop P2,#Prop P3,#Prop P4,#Prop P5,#Prop P6,#Prop P7
1.0923624945696169,0.8374361551857585,2.197922310371517,4.050406174903353,0.26587276399628323,0.32265770856020726,0.19620146479182832,0.24605287716413596,0.1477934558582801,0.3136148462071598,0.27489381277629826
1.0784836755300693,0.8598910458591331,2.2428320917182663,4.054121463564703,0.27742273525717304,0.3358108615929822,0.2041697931163476,0.2575145662399161,0.15504506613509708,0.32650908568739107,0.28541706592697486
1.1274795432487166,0.897732086880805,2.31851417376161,4.64492346672239,0.2917785114102848,0.35287269973069096,0.2132204952224485,0.272674463968741,0.16511149092990685,0.3441507310251584,0.3018128529140132
1.1440542186788805,0.9075098055340556,2.338069611068111,4.840109445199039,0.2951564002385121,0.35693347943653464,0.21528220914768637,0.27628271499068846,0.16751975105395808,0.3483945985620613,0.305871383446588
1.1053254130360517,0.9079754111842104,2.339000822368421,4.51133306342075,0.29824851610424125,0.35995210039838804,0.21793494695356558,0.27889349006143055,0.1691381614674339,0.3508917067740398,0.30691465440465654
1.138957338590974,0.9119330592105264,2.3469161184210527,4.819910896196843,0.29760758127526543,0.3596558638679746,0.2170198833866352,0.27869610017753216,0.16910296337567476,0.3510414405187056,0.3079806942634924
1.0966344963559085,0.9132045207936412,2.3494590415872825,4.464890245874958,0.30136430046679386,0.36337902049497206,0.22018273493005835,0.28190310856049366,0.17109711420970916,0.3541732823290385,0.30945834565627073
1.1620893645851038,0.9140282846362228,2.3511065692724458,5.035088031166679,0.2968756786085675,0.3591218442604778,0.21619883889421573,0.27823379124607067,0.1688391660238221,0.35078847030353183,0.30840552295053786
1.0815782092796256,0.915890707236842,2.354831414473684,4.352601609027269,0.30376782596604807,0.36591216485356504,0.2220372954001901,0.2840933672336233,0.1724971153977824,0.35646556277490304,0.31099463221758467
1.076497740573528,0.9274532475490196,2.377956495098039,4.366664884481766,0.30961693536940893,0.3724670279437366,0.22610922860791074,0.2898846054466853,0.17634524023880258,0.36289182226629374,0.316323733353319
1.1448637819151943,0.9293932710913312,2.3818365421826626,4.967300308222756,0.305384296761572,0.36854547993976716,0.222246862788488,0.28660689519668286,0.17435810761249015,0.3599560584821322,0.31571987678821567
1.0780166008428356,0.942663032120743,2.408376064241486,4.453417223905547,0.3167246463483709,0.38049472459865014,0.23097760201140174,0.2970494769666432,0.18118563986797379,0.370884754983651,0.32319709683005016
1.126022095329584,0.9866627660603716,2.496375532120743,5.104890424198097,0.33369804243492923,0.4000909942396476,0.2420333791546826,0.31482988393370154,0.19344899644845628,0.3910546206395428,0.3417424955073858
1.1095586115009797,1.032990528250774,2.589031056501548,5.191684189217426,0.3566312579044553,0.4253006877565043,0.25832854716956094,0.3375687523516893,0.20933695408786598,0.4158429069285584,0.36261570639749047
1.1228067809757347,1.040243231647416,2.603536463294832,5.357953563649807,0.3588952254165082,0.42794954353991527,0.25973457985630255,0.3400490429303921,0.21109870611981366,0.41867168981825026,0.3653905803213279
1.1210497613751986,0.994067105263158,2.511184210526316,5.097690941385434,0.3375606515286835,0.4043289512345071,0.24479406521319874,0.3186362076155654,0.19607845967357626,0.39519379763862533,0.34516209098608636
1.0922779013982564,0.8779486842105262,2.2789473684210524,4.25222024866785,0.28499601613193987,0.3446739980704543,0.20910616877721996,0.2653546930878792,0.1602016889768354,0.33552106905046136,0.29347585150821515
1.073344585599974,0.8782776315789473,2.2796052631578947,4.103019538188277,0.2865058510261121,0.3461622331439822,0.21039017858634282,0.26659566983210764,0.1609178054994196,0.3367250504399704,0.29395455557157035
1.1250035340475242,0.900317105263158,2.323684210526316,4.637655417406749,0.2931839455859906,0.3544417988558297,0.21421156624056906,0.274053175028377,0.16601047748792064,0.34567570330974184,0.30303165083409506
1.101472987004582,0.926961842105263,2.376973684210526,4.575488454706926,0.30750474320187066,0.37039263313910475,0.22431140361013238,0.2881518503692233,0.17528139995146172,0.36121045135864294,0.3155898881981862
1.1085876518423172,0.9295934210526317,2.382236842105263,4.6500888099467135,0.30822742766180317,0.3712961219656101,0.22471081042282123,0.2889832316652685,0.17586253919128317,0.3622089610942059,0.3166411274252076
1.1134037299888009,0.9335407894736842,2.3901315789473685,4.712255772646536,0.30972414231032624,0.37304731268703845,0.2256660521467766,0.29055146454814046,0.1769215425133797,0.364013730985205,0.318305315790923
1.11449000812161,0.9365013157894736,2.3960526315789474,4.737122557726464,0.311031364678666,0.3745369390563768,0.22654788239166918,0.2918871038774403,0.1778263676744608,0.36551093752435204,0.3196145137117752
1.1006519720662236,0.9381460526315788,2.3993421052631576,4.625222024866785,0.3128571482738742,0.37642198408857314,0.22799474157333507,0.2935199466346436,0.17887802350504597,0.3671858054853392,0.32066106435772135
1.1115655631821486,0.9414355263157894,2.405921052631579,4.737122557726464,0.3135799837917937,0.3773730598101299,0.22833821531112297,0.2944082783303638,0.17950933185250365,0.3682875219950959,0.3219012415936266
1.112069431924674,0.945382894736842,2.413815789473684,4.761989342806394,0.3154110574172557,0.37943926456144367,0.22959437041474628,0.29625401036993176,0.18075578634647768,0.3703451779788906,0.32366915699705884
1.0936557963830296,0.8881460526315785,2.299342105263157,4.314387211367673,0.2897233126363174,0.3500954226723118,0.21229587164897645,0.27013843868034715,0.16333467932699552,0.34093057347154954,0.298112908496998
1.0696993063275613,0.8894618421052631,2.3019736842105263,4.127886323268206,0.29207917386616145,0.35248116687417363,0.21422649376748285,0.2721470075920436,0.16452622972540368,0.34294540261192696,0.29913347069621027
