Time,Fab,IgG
0,0.494450563001092,0.494426512290818
0.1,0.494419927448787,0.494417736854648
0.2,0.49441170041067,0.494412786132838
0.3,0.494408011482808,0.494409701543841
0.4,0.494406147564369,0.49440795280244
0.5,0.494404993190336,0.494406650724808
0.6,0.494404019580995,0.494405863959483
0.7,0.494402610091798,0.494405132918912
0.8,0.494400687882115,0.494404633678225
0.9,0.494398069123681,0.494403918838705
1,0.494394640623595,0.494403136750471
1.1,0.494390339904246,0.494402112073141
1.2,0.494385085227362,0.494400865139374
1.3,0.494378794417808,0.494399362392731
1.4,0.494371469289436,0.494397560562504
1.5,0.494363026710152,0.494395447055752
1.6,0.494353440059889,0.494393001998668
1.7,0.494342778427405,0.494390198420899
1.8,0.494330976397139,0.494387011829463
1.9,0.494318053528211,0.494383431573921
2,0.494304055632445,0.494379462847442
2.1,0.494288962075944,0.494375072783792
2.2,0.494272798673989,0.494370244051059
2.3,0.494255583713797,0.494364967242525
2.4,0.494237324192232,0.49435929628375
2.5,0.494218032900169,0.494353187172979
2.6,0.494197722628432,0.49434663235209
2.7,0.494176415447245,0.49433962426292
2.8,0.494154198976778,0.494332203742364
2.9,0.494130996536389,0.494324354330742
3,0.494106808126109,0.494316070787427
3.1,0.494081633745926,0.494307352376003
3.2,0.494055473395842,0.494298212042284
3.3,0.494028443135353,0.494288654791391
3.4,0.494000593582617,0.494278677345059
3.5,0.49397183233023,0.494268281835242
3.6,0.493942159378185,0.494257470393956
3.7,0.493911574726505,0.494246245153216
3.8,0.493880078375155,0.494234608244993
3.9,0.493848173643347,0.494222561801298
4,0.493815560275144,0.494210113528086
4.1,0.493782202692795,0.494197291410003
4.2,0.493748100896276,0.494184066131062
4.3,0.493713254885613,0.494170437691245
4.4,0.493677664660763,0.494156406090578
4.5,0.493641330221755,0.494141971329037
4.6,0.493604251568589,0.494127133406638
4.7,0.49356642870126,0.494111892323361
4.8,0.493527861619764,0.494096248079237
4.9,0.493488550324102,0.494080278638616
5,0.493448892896282,0.494063966274486
5.1,0.493408706231075,0.49404727629241
5.2,0.493367865063703,0.494030208692413
5.3,0.493326369394189,0.494012763474476
5.4,0.493284219222515,0.493994940638601
5.5,0.49324141454869,0.493976740184798
5.6,0.493197955372704,0.493958162113061
5.7,0.493153841694574,0.493939254158864
5.8,0.493109073514268,0.493920223091198
5.9,0.493063650831821,0.493900875797247
6,0.493018067124111,0.493881212277021
6.1,0.492972170427498,0.493861232530511
6.2,0.492925753601754,0.493840936557729
6.3,0.492878816646925,0.493820324358681
6.4,0.492831359562973,0.493799395933347
6.5,0.492783382349916,0.493778151281717
6.6,0.492734885007751,0.49375659040383
6.7,0.492685867536464,0.493734713299668
6.8,0.492636329936085,0.493712519969214
6.9,0.492586272206595,0.493690010412488
7,0.492536012844431,0.493667184629483
7.1,0.492485503864107,0.493644042620193
7.2,0.492434570477836,0.493620584384637
7.3,0.492383212685593,0.493596809922794
7.4,0.492331430487382,0.493572787325208
7.5,0.492279223883216,0.493548736567626
7.6,0.492226592873086,0.493524408330103
7.7,0.492173537456984,0.493499802612665
7.8,0.492120057634938,0.493474919415275
7.9,0.492066153406915,0.493449758737981
8,0.49201205708311,0.493424320580746
8.1,0.491957778073642,0.49339860494358
8.2,0.491903152463692,0.49337261182649
8.3,0.491848180253252,0.493346341229467
8.4,0.491792861442337,0.49331979315252
8.5,0.491737196030932,0.493292967595646
8.6,0.491681184019039,0.493265864558841
8.7,0.49162482540667,0.4932384840421
8.8,0.491568120193807,0.493210826045445
8.9,0.491511068380457,0.493182890568862
9,0.491453756597336,0.493154677612327
9.1,0.491396222686209,0.493126289616044
9.2,0.491338397200424,0.493097999465295
9.3,0.491280284899132,0.493069483668961
9.4,0.491221890541453,0.493040742227033
9.5,0.491163218886548,0.493011775139537
9.6,0.491104274693532,0.492982582406438
9.7,0.491045062721557,0.492953164027764
9.8,0.490985587729755,0.492923520003495
9.9,0.490925854477268,0.492893650333644
10,0.490865870290409,0.492863555018211
10.1,0.490805641865683,0.492833234057184
10.2,0.490745171319448,0.492802687450584
10.3,0.490684463572698,0.492771915198393
10.4,0.49062352354643,0.49274091730062
10.5,0.490562356161659,0.492709693757262
10.6,0.490500966339395,0.492678244568304
10.7,0.490439359000663,0.492646569733772
10.8,0.490377539066446,0.492614766170716
10.9,0.490315511457771,0.492583047960795
11,0.490253243656127,0.492551148240935
11.1,0.49019069663126,0.492519067011151
11.2,0.490127925094246,0.492486804271442
11.3,0.490064931203978,0.492454360021802
11.4,0.490001717119328,0.492421734262242
11.5,0.489938284999174,0.492388926992728
11.6,0.489874637002373,0.492355938213303
11.7,0.489810775287809,0.492322767923952
11.8,0.489746702014362,0.492289416124666
11.9,0.489682419340903,0.492255882815458
12,0.489617929426291,0.492222167996306
12.1,0.489553234429419,0.492188271667243
12.2,0.48948833650916,0.492154193828234
12.3,0.489423237824391,0.492119934479298
12.4,0.489357940533969,0.49208549362045
12.5,0.489292446796783,0.492050919525936
12.6,0.489226758771699,0.492016307632319
12.7,0.489160878617618,0.491981546195271
12.8,0.489094808493367,0.491946636965941
12.9,0.48902855055784,0.491911581695444
13,0.488962076508787,0.491876382134872
13.1,0.488895319194478,0.491841040035386
13.2,0.488828360000221,0.491805557148073
13.3,0.488761199945141,0.49176993522407
13.4,0.48869384004839,0.491734176014496
13.5,0.488626281329102,0.491698281270469
13.6,0.488558524806418,0.491662252743103
13.7,0.488490571499468,0.491626092183543
13.8,0.488422422427406,0.491589801342864
13.9,0.488354078609349,0.491553381972232
14,0.488285541064455,0.491516835822747
14.1,0.488216810811846,0.491480164645513
14.2,0.488147888870676,0.491443372941054
14.3,0.488078776260077,0.491406467013529
14.4,0.488009473999177,0.49136944298082
14.5,0.487939983107126,0.49133230268535
14.6,0.48787030460307,0.491295047969541
14.7,0.487800439506112,0.491257680675849
14.8,0.487730388835448,0.491220202646683
14.9,0.487660153610164,0.491182615724486
15,0.487589700543017,0.491144921751684
15.1,0.48751882744529,0.491107122570713
15.2,0.487447733811806,0.491069220024009
15.3,0.487376418825335,0.491031215953994
15.4,0.487304881668619,0.490993112203097
15.5,0.487233121524423,0.490954910613763
15.6,0.487161137575541,0.490916613028416
15.7,0.487088929004692,0.490878221289493
15.8,0.487016494994664,0.490839737239421
15.9,0.486943834728219,0.490801136880161
16,0.486870947388096,0.4907623862914
16.1,0.486797832157076,0.490723534436984
16.2,0.486724488217928,0.490684582368226
16.3,0.486650914753401,0.490645531136413
16.4,0.486577110946272,0.490606381792847
16.5,0.486503075979275,0.49056713538884
16.6,0.486428809035205,0.490527792975684
16.7,0.486354309296804,0.490488355604691
16.8,0.486279575946827,0.490448824327163
16.9,0.486204608168068,0.490409200194382
17,0.486129402490813,0.490369484257669
17.1,0.486053779825924,0.490329677568305
17.2,0.485977893613124,0.490289781177621
17.3,0.48590174177357,0.490249796136892
17.4,0.485825322228356,0.49020972349744
17.5,0.485748632898598,0.490169564310557
17.6,0.485671671705419,0.490129319627542
17.7,0.485594436569958,0.490088990499691
17.8,0.485516925413318,0.490048577978324
17.9,0.485439136156615,0.490008083114723
18,0.485361066720969,0.489967506960196
18.1,0.485282715027512,0.48992685056606
18.2,0.485204078997355,0.489886114983592
18.3,0.485125156551601,0.489845301264104
18.4,0.485045945611393,0.489804410458914
18.5,0.484966444097834,0.489763443619302
18.6,0.484886649932071,0.489722401796567
18.7,0.484806561035188,0.48968128604202
18.8,0.484726175328324,0.489640097406968
18.9,0.484645490732582,0.489598836942707
19,0.484564505169102,0.489557505700527
19.1,0.484483220031007,0.489516104731746
19.2,0.484401630715943,0.489474635087663
19.3,0.48431973478982,0.4894331171712
19.4,0.484237530200732,0.489391557663942
19.5,0.484155014896737,0.489349922381653
19.6,0.484072186825878,0.489308211324296
19.7,0.483989043936259,0.489266424491933
19.8,0.483905584175939,0.489224561884514
19.9,0.483821805492987,0.48918262350205
20,0.483737705835473,0.489140609344551
20.1,0.483653283151484,0.48909851941201
20.2,0.483568535389055,0.489056353704442
20.3,0.483483460496297,0.489014112221821
20.4,0.483398056421257,0.48897179496416
20.5,0.483312321111997,0.488929401931455
20.6,0.483226252516589,0.488886933123704
20.7,0.483139848583121,0.488844388540929
20.8,0.483053107259651,0.488801768183103
20.9,0.482966026494253,0.488759072050237
21,0.482878604235,0.48871630014233
21.1,0.482790932947578,0.48867345245939
21.2,0.482702959794948,0.488630529001398
21.3,0.482614657744561,0.488587529768367
21.4,0.482526025600949,0.488544454760312
21.5,0.482437062168673,0.488501303977198
21.6,0.482347766252266,0.488458077419039
21.7,0.48225813665629,0.488414775085855
21.8,0.482168172185306,0.488371396977621
21.9,0.482077871643854,0.48832794309435
22,0.481987233836484,0.488284413436049
22.1,0.481896257567766,0.488240808002686
22.2,0.481804941642211,0.488197126794297
22.3,0.481713284864413,0.488153369810856
22.4,0.481621286038877,0.488109537052381
22.5,0.481528943970206,0.488065628518872
22.6,0.481436257462933,0.488021644210311
22.7,0.481343225321584,0.487977564228481
22.8,0.48124984635073,0.487933380278016
22.9,0.481156119354922,0.487889117866682
23,0.481062043138718,0.487844776994491
23.1,0.480967722049433,0.487800357661431
23.2,0.480873125630246,0.48775585986752
23.3,0.480778201329753,0.487711283612738
23.4,0.480682949097302,0.487666628897105
23.5,0.480587368882275,0.48762189572061
23.6,0.480491460634008,0.487577084083248
23.7,0.480395224301873,0.487532193985013
23.8,0.480298659835212,0.487487225425925
23.9,0.480201767183403,0.487442178405982
24,0.480104546295787,0.487397052925169
24.1,0.480006997121718,0.4873518489835
24.2,0.47990911961057,0.487306566580968
24.3,0.479810913711697,0.487261205717583
24.4,0.479712379374432,0.487215766393327
24.5,0.479613516548165,0.487170248608204
24.6,0.479514325182234,0.48712465236222
24.7,0.479414805226007,0.487078977655387
24.8,0.479314956628825,0.487033224487678
